id,listing_url,name,picture_url,neighbourhood,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people
958,https://www.airbnb.com/rooms/958,"Bright, Modern Garden Unit - 1BR/1B",https://a0.muscache.com/im/pictures/b7c2a199-4c17-4ba6-b81d-751719d2dac6.jpg?aki_policy=large,Western Addition,94117,37.76931,-122.43386,Apartment,Entire home/apt,3,1,1,2,$170.00 ,"$1,120.00 ","$4,200.00 ",$100.00 ,$100.00 ,2,$25.00 
5858,https://www.airbnb.com/rooms/5858,Creative Sanctuary,https://a0.muscache.com/im/pictures/17714/3a7aea10_original.jpg?aki_policy=large,Bernal Heights,94110,37.74511,-122.42102,Apartment,Entire home/apt,5,1,2,3,$235.00 ,"$1,600.00 ","$5,500.00 ",,$100.00 ,2,$0.00 
7918,https://www.airbnb.com/rooms/7918,A Friendly Room - UCSF/USF - San Francisco,https://a0.muscache.com/im/pictures/26356/8030652f_original.jpg?aki_policy=large,Haight Ashbury,94117,37.76669,-122.4525,Apartment,Private room,2,4,1,1,$65.00 ,$485.00 ,"$1,685.00 ",$200.00 ,$50.00 ,1,$12.00 
8142,https://www.airbnb.com/rooms/8142,Friendly Room Apt. Style -UCSF/USF - San Francisco,https://a0.muscache.com/im/pictures/27832/3b1f9e5e_original.jpg?aki_policy=large,Haight Ashbury,94117,37.76487,-122.45183,Apartment,Private room,2,4,1,1,$65.00 ,$490.00 ,"$1,685.00 ",$200.00 ,$50.00 ,1,$12.00 
8339,https://www.airbnb.com/rooms/8339,Historic Alamo Square Victorian,https://a0.muscache.com/im/pictures/6f84a7c2-e350-48b5-9200-8964ec80bb4b.jpg?aki_policy=large,Western Addition,94117,37.77525,-122.43637,House,Entire home/apt,5,1.5,2,2,$785.00 ,,,$0.00 ,$225.00 ,2,$150.00 
8567,https://www.airbnb.com/rooms/8567,Lovely 2BR flat Great Location,https://a0.muscache.com/im/pictures/e2f3507c-dd08-4f5f-bd8c-93e749013c2b.jpg?aki_policy=large,Western Addition,94115,37.78471,-122.44555,Apartment,Entire home/apt,6,1,2,3,$255.00 ,,,$0.00 ,$125.00 ,1,$0.00 
8739,https://www.airbnb.com/rooms/8739,"Mission Sunshine, with Private Bath",https://a0.muscache.com/im/pictures/80811/7a57d0e7_original.jpg?aki_policy=large,Mission,94110,37.75919,-122.42237,Condominium,Private room,3,1,1,2,$139.00 ,,"$9,999.00 ",$0.00 ,$50.00 ,2,$60.00 
9225,https://www.airbnb.com/rooms/9225,Artful Potrero Separate Floor with Garden,https://a0.muscache.com/im/pictures/80742/6401eac2_original.jpg?aki_policy=large,Potrero Hill,94107,37.76259,-122.40543,House,Private room,2,1,1,1,$135.00 ,"$1,000.00 ","$4,000.00 ",,$50.00 ,1,$0.00 
10251,https://www.airbnb.com/rooms/10251,Victorian Suite in Inner Mission,https://a0.muscache.com/im/pictures/30649314/ed09487a_original.jpg?aki_policy=large,Mission,94110,37.75874,-122.41327,Apartment,Entire home/apt,6,1,2,3,$265.00 ,"$1,540.00 ","$5,400.00 ",$500.00 ,$100.00 ,4,$45.00 
10820,https://www.airbnb.com/rooms/10820,Haight Buena Vista Park Garden 3BR,https://a0.muscache.com/im/pictures/110980669/81b00c7e_original.jpg?aki_policy=large,Haight Ashbury,94117,37.77187,-122.43859,Apartment,Entire home/apt,3,1,3,3,$177.00 ,,,"$2,500.00 ",$208.00 ,6,$0.00 
10824,https://www.airbnb.com/rooms/10824,Victorian House in Hayes Valley - 3BED-2BA,https://a0.muscache.com/im/pictures/45831/ae48b2a0_original.jpg?aki_policy=large,Western Addition,94102,37.77355,-122.42436,Apartment,Entire home/apt,5,2,3,3,$194.00 ,,,"$3,000.00 ",$208.00 ,1,$0.00 
10832,https://www.airbnb.com/rooms/10832,Union Square Modern Loft,https://a0.muscache.com/im/pictures/13456368/151ed257_original.jpg?aki_policy=large,Downtown/Civic Center,94102,37.78574,-122.40798,Apartment,Entire home/apt,2,1.5,1,1,$139.00 ,,"$4,800.00 ","$2,500.00 ",$130.00 ,1,$0.00 
12041,https://www.airbnb.com/rooms/12041,Sunny/Sunset view room UCSF/USF - San Francisco,https://a0.muscache.com/im/pictures/114583/240203ed_original.jpg?aki_policy=large,Haight Ashbury,94117,37.77019,-122.44594,Apartment,Private room,2,4,1,2,$85.00 ,$630.00 ,"$1,995.00 ",$200.00 ,$50.00 ,1,$12.00 
12042,https://www.airbnb.com/rooms/12042,Sunny/Sunset view room UCSF/USF - San Francisco,https://a0.muscache.com/im/pictures/93562/3d1cde44_original.jpg?aki_policy=large,Haight Ashbury,94117,37.76894,-122.44778,Apartment,Private room,2,3,1,2,$85.00 ,$630.00 ,"$1,995.00 ",$200.00 ,$50.00 ,1,$12.00 
12522,https://www.airbnb.com/rooms/12522,Perfectly located Castro,https://a0.muscache.com/im/pictures/9158991/d0fa6362_original.jpg?aki_policy=large,Castro/Upper Market,94114,37.76075,-122.43032,Apartment,Private room,1,1,1,1,$79.00 ,,,,$10.00 ,1,$0.00 
12584,https://www.airbnb.com/rooms/12584,"3 levels, Views, 2BR/1BA",https://a0.muscache.com/im/pictures/15772593/f0bb1141_original.jpg?aki_policy=large,Inner Sunset,94117,37.76203,-122.45455,Townhouse,Entire home/apt,3,1,2,3,$136.00 ,"$1,600.00 ","$4,600.00 ",$899.00 ,$299.00 ,2,$21.00 
14125,https://www.airbnb.com/rooms/14125,Gallery Residence,https://a0.muscache.com/im/pictures/440633/87bb0cc9_original.jpg?aki_policy=large,Mission,94110,37.75491,-122.42246,Apartment,Entire home/apt,3,1,1,2,$215.00 ,,"$5,500.00 ",,$80.00 ,2,$35.00 
17132,https://www.airbnb.com/rooms/17132,Luxury 2BR suite with waterview,https://a0.muscache.com/im/pictures/85402/497bbaa0_original.jpg?aki_policy=large,South of Market,94105,37.78647,-122.39072,Condominium,Entire home/apt,4,2,2,2,$450.00 ,"$2,300.00 ","$6,600.00 ","$5,000.00 ",$250.00 ,4,$100.00 
18231,https://www.airbnb.com/rooms/18231,Loft-like Apt./Garden (monthly only available),https://a0.muscache.com/im/pictures/145020/505b8901_original.jpg?aki_policy=large,Noe Valley,94114,37.74888,-122.42982,Apartment,Entire home/apt,3,1,0,1,$107.00 ,,"$3,200.00 ",,,2,$20.00 
18904,https://www.airbnb.com/rooms/18904,Tranquil Lower Haight w/pvt bath,https://a0.muscache.com/im/pictures/11252601/977c2ba2_original.jpg?aki_policy=large,Western Addition,94117,37.77252,-122.43216,Townhouse,Private room,2,1,1,1,$110.00 ,,,$130.00 ,$30.00 ,1,$0.00 
19040,https://www.airbnb.com/rooms/19040,Mission Garden Retreat,https://a0.muscache.com/im/pictures/d18c209a-3e18-4d64-9288-ff2fda8d5c64.jpg?aki_policy=large,Mission,94110,37.76349,-122.41517,Guest suite,Entire home/apt,2,1,0,1,$198.00 ,"$1,188.00 ","$3,888.00 ",$333.00 ,$38.00 ,2,$20.00 
21334,https://www.airbnb.com/rooms/21334,Studio loft on top of Russian Hill,https://a0.muscache.com/im/pictures/452548/6971a570_original.jpg?aki_policy=large,Nob Hill,94133,37.7958,-122.41533,Loft,Entire home/apt,2,1,1,1,$125.00 ,"$1,220.00 ","$4,305.00 ",$500.00 ,$100.00 ,1,$25.00 
21914,https://www.airbnb.com/rooms/21914,A Friendly Room Apt. Style-UCSF/USF-San Francisco,https://a0.muscache.com/im/pictures/acf124ef-f0f8-4bbf-887d-39f849b27f3b.jpg?aki_policy=large,Haight Ashbury,94117,37.7648,-122.45251,Apartment,Private room,2,4,1,1,$65.00 ,$490.00 ,"$1,685.00 ",$200.00 ,$50.00 ,1,$12.00 
23611,https://www.airbnb.com/rooms/23611,Bernal Heights Gem with Fab Views !,https://a0.muscache.com/im/pictures/124428/49cc0147_original.jpg?aki_policy=large,Bernal Heights,94110,37.74556,-122.41207,Condominium,Private room,1,1,1,1,$100.00 ,$750.00 ,"$2,800.00 ",$500.00 ,$30.00 ,1,$30.00 
23630,https://www.airbnb.com/rooms/23630,Castro Guest Suite With Continental Breakfast,https://a0.muscache.com/im/pictures/452485/a20226fa_original.jpg?aki_policy=large,Castro/Upper Market,94114,37.75963,-122.44143,House,Entire home/apt,2,1,1,1,$155.00 ,,,$200.00 ,,2,$0.00 
24390,https://www.airbnb.com/rooms/24390,Mission Studio,https://a0.muscache.com/im/pictures/611a6122-807b-4486-bf90-c4ca70e98962.jpg?aki_policy=large,Mission,94110,37.75146,-122.41248,Apartment,Entire home/apt,2,1,1,1,$95.00 ,$945.00 ,"$2,950.00 ","$2,000.00 ",$75.00 ,2,$104.00 
24450,https://www.airbnb.com/rooms/24450,Atelier Noe 25 Studio in Noe Valley,https://a0.muscache.com/im/pictures/7b5db254-90d6-4242-9536-47af9d1caa77.jpg?aki_policy=large,Noe Valley,94114,37.74885,-122.43673,Apartment,Entire home/apt,3,1,1,2,$180.00 ,,,$250.00 ,$80.00 ,2,$25.00 
