id	name	cat	coordinates	hours
0	101 California	Business & Services	[-122.3981, 37.79295]	N/A
1	101 Luxury Transportation	Transport	[-122.456129, 37.781581]	Mon-Sun: 00:00 - 24:00
2	102 Music	Shop	[-122.40762, 37.79952]	N/A
3	111 Minna Gallery	Sights & Museums	[-122.39947, 37.78742]	Mon-Fri: 07:30 - 17:00
4	12 Gallagher Lane	Shop	[-122.40321, 37.78148]	N/A
5	140 New Montgomery	Landmark/Attraction	[-122.4, 37.78661]	N/A
6	16th Avenue Tiled Steps	Going Out	[-122.47312, 37.756247]	Mon-Sat: 09:30 - 17:00<br/>Sun: 10:00 - 17:00
7	1am SF	Sights & Museums	[-122.4076, 37.7797]	Tue-Sat: 12:00 - 18:30
8	1st Classic Airport Transportation Limousine Car Service	Transport	[-122.41688, 37.75373]	Mon-Sun: 00:00 - 24:00
9	222 Second Street	Going Out	[-122.39823, 37.78631]	N/A
10	22nd St Hill	Landmark/Attraction	[-122.42833, 37.75463]	N/A
11	333 Bush Street	Building	[-122.40306, 37.79059]	Mon-Fri: 06:00 - 20:00<br/>Sat: 09:00 - 17:00
12	39 Stockton Street	Landmark/Attraction	[-122.40666, 37.78616]	N/A
13	3rd on Third	Going Out	[-122.39075, 37.7356]	N/A
14	450 Sutter Building	Hospital or Healthcare Facility	[-122.40783, 37.78966]	Mon-Sun: 06:00 - 06:00
15	46th & Sloat Mural	Landmark/Attraction	[-122.5039, 37.73576]	N/A
16	4825 Mission Mural	Landmark/Attraction	[-122.43721, 37.72106]	N/A
17	49 Square Tours	Sights & Museums	[-122.39495, 37.776886]	Mon-Fri: 09:00 - 18:00<br/>Sat, Sun: 11:00 - 17:00
18	4th & Brannan Murals	Landmark/Attraction	[-122.39686, 37.77828]	N/A
19	500 Capp Street Foundation	Museum	[-122.41818, 37.75856]	Wed-Sat: 11:00 - 17:30
20	7d Experience	Cinema	[-122.410342, 37.808533]	Mon-Sun: 10:00 - 22:00
21	826 Valencia Pirate Supply Store	Shop	[-122.42168, 37.75955]	Mon-Sun: 12:00 - 18:00
22	A Cavalli & Co	Coffee/Tea	[-122.40917, 37.7991]	Tue-Sat: 09:00 - 18:00
23	A Friend in Town	Landmark/Attraction	[-122.39605, 37.77917]	Mon-Sun: 08:30 - 20:00
24	A Neighborhood Inspired by History and Champions	Landmark/Attraction	[-122.436399, 37.713493]	N/A
25	A Pied Tours	Sights & Museums	[-122.405887, 37.791482]	N/A
26	A Shine & Co	Going Out	[-122.40352, 37.79258]	Mon: 08:00 - 18:00<br/>Tue-Fri: 07:00 - 18:00
27	A Silvestri Co	DIY/garden centre	[-122.40575, 37.70857]	Tue-Fri: 09:00 - 17:00<br/>Sat: 10:00 - 17:00
28	A Taste of San Francisco	Transport	[-122.48761, 37.78164]	Tue-Sun: 09:00 - 21:00
29	A Taste of San Francisco and Beyond	Food & Drink	[-122.38453, 37.75503]	Mon-Sun: 07:00 - 21:00
30	AB Fits	Clothing & Accessories	[-122.40781, 37.80094]	Tue-Sat: 11:30 - 18:30<br/>Sun: 12:00 - 18:00
31	ABC's '7live' Voice Box	Theatre, Music & Culture	[-122.39956, 37.80022]	N/A
32	AIDS Memorial Grove	Natural or Geographical	[-122.46037, 37.76982]	N/A
33	AMC Theatres Dine-in Kabuki 8	Cinema	[-122.43236, 37.78523]	Mon-Sun: 12:00 - 00:00
34	Aardvark's	Shop	[-122.44711, 37.76976]	N/A
35	Abiano Limo	Transport	[-122.42191, 37.80246]	Mon-Sun: 06:00 - 01:00
36	Able International Holiday	Landmark/Attraction	[-122.463589, 37.701648]	N/A
37	Abraham Lincoln Brigade Memorial	Landmark/Attraction	[-122.39423, 37.79337]	N/A
38	Acsailingsf	Business & Services	[-122.41023, 37.80885]	Tue-Sun: 09:00 - 18:00
39	Admission's Day Statue	Landmark/Attraction	[-122.40166, 37.78864]	N/A
40	Adventure Cat Sailing Charters	Business & Services	[-122.41023, 37.80885]	N/A
41	Adventures by Anne Marie	Landmark/Attraction	[-122.44629, 37.769800000000004]	N/A
42	Aegis Limo	Transport	[-122.38429, 37.73053]	Mon-Sun: 00:00 - 24:00
43	Age of Sail - San Francisco Maritime Park Association	Educational Facility	[-122.42091, 37.80767]	Mon-Fri: 08:00 - 17:00
44	Agnes' Tours	Landmark/Attraction	[-122.400895, 37.798764]	N/A
45	Alcatraz	Landmark/Attraction	[-122.42095, 37.82672]	Mon-Sun: 08:30 - 18:30
46	Alcatraz Dining Hall	Snacks/Fast food	[-122.41157, 37.80634]	N/A
47	Alcatraz Excursions	Business & Services	[-122.404456, 37.806635]	Mon-Fri: 09:00 - 17:00
48	Alcatraz Light	Landmark/Attraction	[-122.41056, 37.8018]	N/A
49	Alcatraz Now	Tourist Information	[-122.4131, 37.80205]	Mon-Sun: 08:00 - 20:00
50	Alcatraz Reservations	Public Transport	[-122.40949, 37.80737]	N/A
51	Alcatraz Tours	Landmark/Attraction	[-122.47331, 37.78915]	N/A
52	Alegro Tours	Sights & Museums	[-122.45285, 37.78145]	Mon-Sun: 06:00 - 23:00
53	Alemany Flea Market	Shop	[-122.409, 37.73692]	Sun: 06:00 - 15:00
54	Alessi	Shop	[-122.40745, 37.7896]	Mon-Sat: 10:00 - 18:00
55	Alioto-Lazio Fish	Shop	[-122.41988, 37.80784]	Mon-Fri: 06:00 - 14:00<br/>Sat: 07:00 - 12:00
56	All About Chinatown Tours	Sights & Museums	[-122.40551, 37.79269]	N/A
57	All American Boy	Shop	[-122.4347, 37.76156]	N/A
58	Almanza Tours	Landmark/Attraction	[-122.39879, 37.79803]	N/A
59	Aloha Limousine	Transport	[-122.40166, 37.72356]	Mon-Sun: 08:00 - 21:00
60	Alsabeel Noor al-Islam Mosque	Religious Place	[-122.406331, 37.768504]	N/A
61	Alternative SF	Going Out	[-122.43571, 37.75814]	N/A
62	Alvinza Hayward Building	Landmark/Attraction	[-122.40256, 37.79314]	N/A
63	Alvord Lake Bridge	Recreation	[-122.456936, 37.767863]	N/A
